timestamp,open,high,low,close,volume
2022-09-20,26.62,27.05,26.62,26.7191,1224
2022-09-19,26.7,26.7816,26.44,26.7816,1461
2022-09-16,25.72,26.1,25.36,26.1,14558
2022-09-15,26.1,26.7912,26.1,26.2388,5138
2022-09-14,25.4,26.4001,25.4,26.1222,3013
2022-09-13,25.04,25.3,24.9,25.0185,7876
2022-09-12,25.94,26.35,25.91,26.3085,4743
2022-09-09,25.16,25.86,25.1301,25.79,16107
2022-09-08,23.7399,24.6717,23.7399,24.6717,409
2022-09-07,23.5998,24.0794,23.5662,24.0794,6524
2022-09-06,22.75,23.21,22.75,23.1353,5460
2022-09-02,23.96,23.96,22.6552,22.6552,1008
2022-09-01,22.9267,23.4469,22.43,23.4469,2863
2022-08-31,23.67,23.79,23.05,23.3246,11438
2022-08-30,24.6,24.6,23.09,23.5022,3946
2022-08-29,24.04,24.45,24.04,24.26,3603
2022-08-26,25.68,25.97,24.6633,24.6633,38012
2022-08-25,26.33,26.33,25.01,25.4793,42172
2022-08-24,25.75,26.18,25.5731,25.5731,4100
2022-08-23,24.99,25.5434,24.96,25.5434,8306
2022-08-22,25.12,25.12,24.55,24.875,26574
2022-08-19,25.45,25.5978,25.234,25.5978,3242
2022-08-18,26.5733,26.5733,26.2648,26.2648,1046
2022-08-17,26.23,26.7,26.1674,26.4008,3272
2022-08-16,27.2,27.41,26.7191,26.7191,7041
2022-08-15,26.28,27.38,26.28,27.02,27469
2022-08-12,24.5,26.0,24.5,25.98,4228
2022-08-11,25.5,25.5,24.5623,24.5623,1422
2022-08-10,25.32,25.4376,24.48,25.4376,2629
2022-08-09,25.1,25.1,24.15,24.3259,6595
